City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
205,Sorong,ID,-0.88,131.25,78.58,83,98,5.5,overcast clouds
206,Kutum,SD,14.2,24.67,73.89,21,21,13.31,few clouds
207,Balkanabat,TM,39.51,54.37,59.9,34,0,1.34,clear sky
208,Haines Junction,CA,60.75,-137.51,28.99,90,100,1.41,overcast clouds
209,Doha,QA,25.29,51.53,82.4,65,0,2.24,clear sky
210,Paamiut,GL,61.99,-49.67,34.63,95,95,24.43,overcast clouds
211,Saint-Joseph,RE,-21.37,55.62,69.8,73,0,5.82,clear sky
212,Lavrentiya,RU,65.58,-171.0,33.26,91,95,8.99,overcast clouds
213,Codrington,AU,-38.27,141.97,47.46,71,1,14.79,clear sky
214,Nazilli,TR,37.92,28.32,68.61,48,50,1.83,scattered clouds
215,Roald,NO,62.58,6.13,50.0,61,20,11.41,few clouds
216,Jorochito,BO,-18.05,-63.43,95.0,44,75,25.28,broken clouds
217,Kasempa,ZM,-13.46,25.83,71.2,24,41,3.74,scattered clouds
218,Terrace,CA,54.52,-128.6,30.2,63,90,1.45,smoke
219,Kendari,ID,-3.94,122.5,75.49,90,98,2.08,overcast clouds
220,Sarab,IR,38.61,44.99,62.91,32,100,0.29,overcast clouds
221,Kalmunai,LK,7.42,81.82,80.6,76,100,0.67,overcast clouds
222,Skibbereen,IE,51.55,-9.27,44.6,87,20,11.41,few clouds
223,Sistranda,NO,63.73,8.83,44.6,93,20,13.87,few clouds
224,Vaxjo,SE,56.88,14.81,52.0,100,100,9.17,light rain
225,Iwanai,JP,42.97,140.51,45.7,79,56,4.29,broken clouds
226,Ko Samui,TH,9.54,99.94,80.31,79,72,9.91,broken clouds
227,Yuanping,CN,38.72,112.76,53.06,59,0,3.33,clear sky
228,Celestun,MX,20.87,-90.4,83.3,72,14,13.11,few clouds
229,Segou,ML,13.43,-6.22,84.7,16,0,8.19,clear sky
230,Namibe,AO,-15.2,12.15,68.83,79,52,4.65,broken clouds
231,Perth,AU,-31.93,115.83,66.0,67,0,3.36,light rain
232,Leshukonskoye,RU,64.9,45.76,25.99,98,98,3.74,overcast clouds
